date,year,country,activity,sex,age,fatal,datetime_column,string_column,month,season
2024-10-11 00:00:00,2024,USA,surfing,M,16,no,2024-10-11 00:00:00,,10,Autumn
2024-07-23 00:00:00,2024,Australia,surfing,M,23,no,2024-07-23 00:00:00,,7,Summer
2024-07-18 00:00:00,2024,Australia,surfing,M,41,no,2024-07-18 00:00:00,,7,Summer
2024-07-08 00:00:00,2024,USA,diving,M,14,no,2024-07-08 00:00:00,,7,Summer
2024-07-05 00:00:00,2024,USA,wading,M,26,no,2024-07-05 00:00:00,,7,Summer
2024-07-04 00:00:00,2024,USA,swimming,F,45,no,2024-07-04 00:00:00,,7,Summer
2024-07-04 00:00:00,2024,USA,swimming,M,15,no,2024-07-04 00:00:00,,7,Summer
2024-06-07 00:00:00,2024,USA,swimming,F,45,no,2024-06-07 00:00:00,,6,Summer
2024-06-02 00:00:00,2024,USA,swimming,M,46,no,2024-06-02 00:00:00,,6,Summer
2024-05-28 00:00:00,2024,USA,wading,F,19,no,2024-05-28 00:00:00,,5,Spring
2024-05-23 00:00:00,2024,French Polynesia,diving,M,20,no,2024-05-23 00:00:00,,5,Spring
2024-05-02 00:00:00,2024,USA,fishing,M,65,no,2024-05-02 00:00:00,,5,Spring
2024-04-20 00:00:00,2024,Australia,fishing,M,16,no,2024-04-20 00:00:00,,4,Spring
2024-04-20 00:00:00,2024,Australia,surfing,M,26,no,2024-04-20 00:00:00,,4,Spring
15 Mar 2024,2024,Australia,swimming,F,13,unknown,2024-03-15 00:00:00,15 Mar 2024,3,Spring
04 Mar 2024,2024,USA,surfing,M,15,no,2024-03-04 00:00:00,04 Mar 2024,3,Spring
02 Mar-2024,2024,USA,swimming,F,11,no,2024-03-02 00:00:00,02 Mar-2024,3,Spring
29 Jan-2024,2024,Australia,swimming,F,29,no,2024-01-29 00:00:00,29 Jan-2024,1,Winter
15 Jan-2024,2024,Bahamas,swimming,M,10,no,2024-01-15 00:00:00,15 Jan-2024,1,Winter
09-Jan-2024,2024,Australia,surfing,M,64,no,2024-01-09 00:00:00,09-Jan-2024,1,Winter
05-Jan-2024,2024,South Africa,fishing,M,62,no,2024-01-05 00:00:00,05-Jan-2024,1,Winter
30 Dec-2023,2023,USA,surfing,M,39,yes,2023-12-30 00:00:00,30 Dec-2023,12,Winter
29 Dec-2023,2023,Mexico,diving,M,22,yes,2023-12-29 00:00:00,29 Dec-2023,12,Winter
28 Dec-2023,2023,Australia,surfing,M,15,yes,2023-12-28 00:00:00,28 Dec-2023,12,Winter
25 Dec-2023,2023,Australia,surfing,M,16,no,2023-12-25 00:00:00,25 Dec-2023,12,Winter
